Timestamp,what subject are you doing today?,On a scale of 1 to 5 how satisfied your study session was,"On a scale of 1 (easy) to 5 (very challenging), how difficult do you find each subject?"
3/10/2025 15:06:08,Combined Science (Physics),4,4
3/10/2025 15:06:10,E Math,2,4
3/10/2025 15:06:11,Combined Science (Physics),3,4
3/10/2025 15:06:12,Combined Science (Chemistry),4,4
3/10/2025 15:06:13,Combined Science (Chemistry),2,2
3/10/2025 15:06:15,E Math,4,1
3/10/2025 15:06:16,Combined Science (Physics),2,5
3/10/2025 15:06:17,Combined Science (Bio),3,3
3/10/2025 15:06:19,Combined Science (Chemistry),4,3
3/10/2025 15:06:20,Combined Science (Physics),3,3
3/10/2025 15:06:21,E Math,5,3
3/10/2025 15:06:23,A Math,4,3
3/10/2025 15:06:24,Combined Science (Bio),4,2
3/10/2025 15:06:25,E Math,2,2
3/10/2025 15:06:27,Combined Science (Bio),4,4
3/10/2025 15:06:28,Combined Science (Bio),5,3
3/10/2025 15:06:29,Combined Science (Bio),4,5
3/10/2025 15:06:31,Combined Science (Physics),3,2
3/10/2025 15:06:32,Combined Science (Bio),2,3
3/10/2025 15:06:34,A Math,4,2
3/10/2025 15:06:35,A Math,3,5
3/10/2025 15:06:36,A Math,4,2
3/10/2025 15:06:37,A Math,3,2
3/10/2025 15:06:39,A Math,2,1
3/10/2025 15:06:40,E Math,4,3
3/10/2025 15:06:41,Combined Science (Physics),3,4
3/10/2025 15:06:42,Combined Science (Bio),1,5
3/10/2025 15:06:44,A Math,2,5
3/10/2025 15:06:45,E Math,3,5
3/10/2025 15:06:46,Combined Science (Chemistry),5,3
3/10/2025 15:06:48,Combined Science (Chemistry),4,1
3/10/2025 15:06:49,Combined Science (Chemistry),3,3
3/10/2025 15:06:50,A Math,4,3
3/10/2025 15:06:52,E Math,3,5
3/10/2025 15:06:53,Combined Science (Bio),1,3
3/10/2025 15:06:54,Combined Science (Chemistry),2,3
3/10/2025 15:06:55,Combined Science (Physics),3,3
3/10/2025 15:06:57,Combined Science (Chemistry),4,4
3/10/2025 15:06:58,Combined Science (Chemistry),5,1
3/10/2025 15:06:59,Combined Science (Physics),5,5
3/10/2025 15:07:01,Combined Science (Bio),5,4
3/10/2025 15:07:02,Combined Science (Bio),3,4
3/10/2025 15:07:03,Combined Science (Bio),3,3
3/10/2025 15:07:05,Combined Science (Bio),3,2
3/10/2025 15:07:06,Combined Science (Bio),5,3
3/10/2025 15:07:07,E Math,5,2
3/10/2025 15:07:09,A Math,1,2
3/10/2025 15:07:10,A Math,3,1
3/10/2025 15:07:11,Combined Science (Chemistry),5,4
3/10/2025 15:07:12,E Math,3,3
3/10/2025 15:07:14,Combined Science (Chemistry),1,4
3/10/2025 15:07:15,Combined Science (Physics),4,2
3/10/2025 15:07:16,E Math,4,3
3/10/2025 15:07:18,Combined Science (Chemistry),4,3
3/10/2025 15:07:19,Combined Science (Physics),2,2
3/10/2025 15:07:20,Combined Science (Chemistry),1,4
3/10/2025 15:07:21,Combined Science (Chemistry),2,2
3/10/2025 15:07:23,E Math,1,4
3/10/2025 15:07:24,E Math,1,4
3/10/2025 15:07:25,E Math,5,4
3/10/2025 15:07:26,Combined Science (Bio),3,3
3/10/2025 15:07:28,Combined Science (Physics),3,3
3/10/2025 15:07:29,Combined Science (Chemistry),2,4
3/10/2025 15:07:30,Combined Science (Physics),3,4
3/10/2025 15:07:32,Combined Science (Bio),2,4
3/10/2025 15:07:33,A Math,3,4
3/10/2025 15:07:35,Combined Science (Chemistry),4,1
3/10/2025 15:07:37,Combined Science (Physics),2,1
3/10/2025 15:07:38,A Math,2,3
3/10/2025 15:07:39,Combined Science (Bio),5,3
3/10/2025 15:07:41,A Math,1,4
3/10/2025 15:07:42,A Math,1,2
3/10/2025 15:07:43,E Math,2,2
3/10/2025 15:07:45,E Math,3,3
3/10/2025 15:07:46,E Math,3,3
3/10/2025 15:07:47,E Math,5,3
3/10/2025 15:07:48,Combined Science (Physics),2,4
3/10/2025 15:07:50,Combined Science (Chemistry),4,4
3/10/2025 15:07:51,A Math,1,5
3/10/2025 15:07:52,A Math,2,3
3/10/2025 15:07:54,Combined Science (Chemistry),3,5
3/10/2025 15:07:55,Combined Science (Bio),2,3
3/10/2025 15:07:56,Combined Science (Bio),3,3
3/10/2025 15:07:57,Combined Science (Bio),3,3
3/10/2025 15:07:59,Combined Science (Chemistry),2,2
3/10/2025 15:08:00,Combined Science (Physics),5,2
3/10/2025 15:08:01,A Math,3,5
3/10/2025 15:08:03,Combined Science (Physics),2,1
3/10/2025 15:08:05,Combined Science (Physics),4,1
3/10/2025 15:08:06,Combined Science (Physics),3,2
3/10/2025 15:08:07,Combined Science (Physics),4,1
3/10/2025 15:08:09,Combined Science (Bio),4,5
3/10/2025 15:08:10,A Math,4,4
3/10/2025 15:08:11,Combined Science (Physics),3,4
3/10/2025 15:08:12,E Math,4,2
3/10/2025 15:08:14,Combined Science (Chemistry),5,5
3/10/2025 15:08:15,E Math,3,2
3/10/2025 15:08:16,A Math,3,4
3/10/2025 15:08:17,E Math,4,5
3/10/2025 15:08:19,A Math,5,5
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
