Timestamp,Typical Study Session Duration,Daily Study Sessions,Preferred Study Time,Break Frequency,Favorite Break Activity,Schedule Satisfaction,Tomorrow Study Time
3/4/2025 20:58,30-60 minutes,1,Afternoon,Rarely,snack break,2,Less than 30 minutes
3/4/2025 20:58,More than 2 hours,1,Morning,Often,Power nap,1,More than 2 hours
3/4/2025 20:58,1-2 hours,1,Night,Often,short walk,4,More than 2 hours
3/4/2025 20:58,1-2 hours,1,Evening,Rarely,Power nap,2,30-60 minutes
3/4/2025 20:58,Less than 30 minutes,2,Evening,Often,Power nap,4,30-60 minutes
3/4/2025 20:58,1-2 hours,1,Evening,Always,short walk,4,More than 2 hours
3/4/2025 20:58,30-60 minutes,2,Night,Never,short walk,2,Less than 30 minutes
3/4/2025 20:58,1-2 hours,2,Afternoon,Often,Power nap,3,More than 2 hours
3/4/2025 20:58,30-60 minutes,2,Evening,Never,social media,3,Less than 30 minutes
3/4/2025 20:58,1-2 hours,1,Night,Often,social media,1,1-2 hours
3/4/2025 20:58,1-2 hours,1,Afternoon,Always,snack break,1,1-2 hours
3/4/2025 20:58,More than 2 hours,2,Evening,Rarely,social media,4,More than 2 hours
3/4/2025 20:58,More than 2 hours,1,Afternoon,Often,Power nap,3,More than 2 hours
3/4/2025 20:58,30-60 minutes,1,Afternoon,Sometimes,snack break,3,30-60 minutes
3/4/2025 20:58,1-2 hours,3,Afternoon,Sometimes,snack break,3,1-2 hours
3/4/2025 20:58,30-60 minutes,1,Night,Rarely,Power nap,1,Less than 30 minutes
3/4/2025 20:58,30-60 minutes,1,Evening,Always,snack break,3,1-2 hours
3/4/2025 20:58,30-60 minutes,2,Afternoon,Sometimes,snack break,4,1-2 hours
3/4/2025 20:58,More than 2 hours,2,Morning,Rarely,Power nap,4,More than 2 hours
3/4/2025 20:58,1-2 hours,3,Morning,Rarely,snack break,4,1-2 hours
3/4/2025 20:58,More than 2 hours,2,Night,Rarely,Power nap,3,More than 2 hours
3/4/2025 20:58,30-60 minutes,1,Afternoon,Often,short walk,4,1-2 hours
3/4/2025 20:58,30-60 minutes,1,Evening,Always,social media,4,More than 2 hours
3/4/2025 20:58,1-2 hours,1,Afternoon,Often,short walk,3,More than 2 hours
3/4/2025 20:58,1-2 hours,1,Evening,Often,snack break,2,1-2 hours
3/4/2025 20:58,More than 2 hours,1,Night,Never,social media,3,1-2 hours
3/4/2025 20:58,1-2 hours,2,Evening,Often,social media,2,1-2 hours
3/4/2025 20:58,30-60 minutes,2,Morning,Sometimes,Power nap,5,1-2 hours
3/4/2025 20:58,30-60 minutes,2,Night,Sometimes,snack break,4,1-2 hours
3/4/2025 20:58,More than 2 hours,2,Night,Often,short walk,5,More than 2 hours
3/4/2025 20:58,1-2 hours,2,Afternoon,Never,snack break,5,1-2 hours
3/4/2025 20:58,Less than 30 minutes,3,Evening,Often,Power nap,4,30-60 minutes
3/4/2025 20:58,30-60 minutes,3,Afternoon,Sometimes,short walk,1,Less than 30 minutes
3/4/2025 20:58,1-2 hours,2,Morning,Always,social media,4,More than 2 hours
3/4/2025 20:58,More than 2 hours,2,Afternoon,Always,social media,4,More than 2 hours
3/4/2025 20:58,Less than 30 minutes,1,Afternoon,Always,snack break,3,30-60 minutes
3/4/2025 20:58,More than 2 hours,1,Afternoon,Often,short walk,5,More than 2 hours
3/4/2025 20:58,1-2 hours,3,Evening,Sometimes,Power nap,4,More than 2 hours
3/4/2025 20:58,1-2 hours,3,Afternoon,Rarely,snack break,5,More than 2 hours
3/4/2025 20:58,30-60 minutes,1,Afternoon,Sometimes,snack break,2,30-60 minutes
3/4/2025 20:58,1-2 hours,2,Morning,Always,short walk,4,More than 2 hours
3/4/2025 20:58,More than 2 hours,2,Evening,Sometimes,Power nap,3,More than 2 hours
3/4/2025 20:58,More than 2 hours,2,Afternoon,Often,short walk,2,More than 2 hours
3/4/2025 20:58,1-2 hours,1,Afternoon,Sometimes,social media,1,30-60 minutes
3/4/2025 20:58,1-2 hours,3,Morning,Sometimes,short walk,3,1-2 hours
3/4/2025 20:58,30-60 minutes,1,Evening,Sometimes,social media,5,1-2 hours
3/4/2025 20:58,1-2 hours,1,Morning,Sometimes,snack break,3,1-2 hours
3/4/2025 20:58,1-2 hours,3,Night,Often,short walk,3,More than 2 hours
3/4/2025 20:58,30-60 minutes,3,Night,Often,snack break,5,More than 2 hours
3/4/2025 20:58,1-2 hours,1,Morning,Always,snack break,4,More than 2 hours
3/4/2025 20:58,Less than 30 minutes,2,Afternoon,Sometimes,short walk,4,30-60 minutes
3/4/2025 20:58,1-2 hours,1,Evening,Rarely,Power nap,3,1-2 hours
3/4/2025 20:58,30-60 minutes,2,Afternoon,Rarely,social media,4,30-60 minutes
3/4/2025 20:58,30-60 minutes,2,Night,Always,social media,5,More than 2 hours
3/4/2025 20:58,1-2 hours,2,Morning,Sometimes,snack break,3,1-2 hours
3/4/2025 20:58,1-2 hours,3,Morning,Often,snack break,4,More than 2 hours
3/4/2025 20:58,30-60 minutes,1,Afternoon,Always,short walk,4,More than 2 hours
3/4/2025 20:58,30-60 minutes,2,Night,Sometimes,social media,1,Less than 30 minutes
3/4/2025 20:58,30-60 minutes,2,Morning,Often,short walk,3,1-2 hours
3/4/2025 20:58,30-60 minutes,2,Evening,Always,short walk,5,More than 2 hours
3/4/2025 20:58,1-2 hours,1,Evening,Sometimes,snack break,4,More than 2 hours
3/4/2025 20:58,1-2 hours,1,Morning,Sometimes,Power nap,2,1-2 hours
3/4/2025 20:59,Less than 30 minutes,3,Evening,Often,short walk,4,30-60 minutes
3/4/2025 20:59,1-2 hours,1,Evening,Always,short walk,5,More than 2 hours
3/4/2025 20:59,More than 2 hours,1,Evening,Often,snack break,4,More than 2 hours
3/4/2025 20:59,Less than 30 minutes,1,Evening,Rarely,short walk,3,Less than 30 minutes
3/4/2025 20:59,1-2 hours,1,Afternoon,Always,social media,3,More than 2 hours
3/4/2025 20:59,1-2 hours,1,Morning,Sometimes,social media,4,More than 2 hours
3/4/2025 20:59,More than 2 hours,1,Afternoon,Often,social media,5,More than 2 hours
3/4/2025 20:59,30-60 minutes,1,Evening,Sometimes,short walk,2,30-60 minutes
3/4/2025 20:59,1-2 hours,1,Night,Sometimes,snack break,3,1-2 hours
3/4/2025 20:59,30-60 minutes,2,Afternoon,Often,social media,4,1-2 hours
3/4/2025 20:59,More than 2 hours,3,Night,Always,snack break,2,More than 2 hours
3/4/2025 20:59,1-2 hours,2,Morning,Rarely,snack break,3,1-2 hours
3/4/2025 20:59,More than 2 hours,3,Afternoon,Often,snack break,2,More than 2 hours
3/4/2025 20:59,30-60 minutes,2,Afternoon,Sometimes,short walk,5,1-2 hours
3/4/2025 20:59,1-2 hours,3,Afternoon,Often,short walk,3,More than 2 hours
3/4/2025 20:59,More than 2 hours,2,Evening,Sometimes,short walk,2,More than 2 hours
3/4/2025 20:59,1-2 hours,2,Night,Often,Power nap,4,More than 2 hours
3/4/2025 20:59,1-2 hours,2,Morning,Always,Power nap,5,More than 2 hours
3/4/2025 20:59,30-60 minutes,2,Night,Sometimes,snack break,3,30-60 minutes
3/4/2025 20:59,30-60 minutes,2,Morning,Often,short walk,2,30-60 minutes
3/4/2025 20:59,Less than 30 minutes,3,Evening,Sometimes,snack break,3,Less than 30 minutes
3/4/2025 20:59,More than 2 hours,2,Afternoon,Always,Power nap,5,More than 2 hours
3/4/2025 20:59,30-60 minutes,3,Night,Rarely,snack break,2,Less than 30 minutes
3/4/2025 20:59,1-2 hours,1,Night,Often,short walk,3,More than 2 hours
3/4/2025 20:59,More than 2 hours,2,Evening,Rarely,Power nap,3,More than 2 hours
3/4/2025 20:59,1-2 hours,3,Evening,Rarely,short walk,3,1-2 hours
3/4/2025 20:59,1-2 hours,1,Morning,Always,snack break,4,More than 2 hours
3/4/2025 20:59,Less than 30 minutes,3,Morning,Often,short walk,5,1-2 hours
3/4/2025 20:59,30-60 minutes,2,Night,Sometimes,snack break,3,30-60 minutes
3/4/2025 20:59,More than 2 hours,1,Evening,Sometimes,Power nap,1,1-2 hours
3/4/2025 20:59,Less than 30 minutes,2,Evening,Always,short walk,4,1-2 hours
3/4/2025 20:59,1-2 hours,2,Evening,Sometimes,short walk,1,30-60 minutes
3/4/2025 20:59,1-2 hours,1,Evening,Often,social media,1,1-2 hours
3/4/2025 20:59,1-2 hours,1,Afternoon,Sometimes,social media,2,1-2 hours
3/4/2025 20:59,30-60 minutes,3,Night,Never,Power nap,4,30-60 minutes
3/4/2025 20:59,Less than 30 minutes,2,Evening,Always,snack break,4,1-2 hours
3/4/2025 20:59,More than 2 hours,2,Afternoon,Sometimes,short walk,3,More than 2 hours
3/4/2025 20:59,30-60 minutes,3,Morning,Often,social media,3,1-2 hours
